电视,#genre#
CCTV1,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
开心速递,http://txtest-xp2p.p2p.huya.com/src/1199563478941-1199563478941-5444314962614812672-2399127081338-10057-A-0-1.xs
侣行,http://epg.112114.xyz/douyu/1407799
上官书画坊,http://epg.112114.xyz/douyu/7923751
有山临帖,http://epg.112114.xyz/douyu/6327572
国学文化,http://epg.112114.xyz/douyu/10752620
LOW哥开讲,http://epg.112114.xyz/douyu/1330448
张雪峰,http://epg.112114.xyz/douyu/961020
花安镜,http://epg.112114.xyz/douyu/11211
真的很博通,http://epg.112114.xyz/douyu/222931
乱炖大杀器,http://epg.112114.xyz/douyu/9592463
古人云,http://epg.112114.xyz/douyu/9397674
吐槽大会,http://epg.112114.xyz/douyu/9236042
科幻F解说,http://epg.112114.xyz/douyu/3508304
科幻战舰,http://epg.112114.xyz/douyu/8772060
舒缓音乐,http://epg.112114.xyz/douyu/9262938
秋水自制MV,http://epg.112114.xyz/douyu/9588891
喵喵音乐台,http://epg.112114.xyz/douyu/9568091
点歌台,http://epg.112114.xyz/douyu/3186217
音乐猛抬头,http://epg.112114.xyz/douyu/8666105
黑糖音乐秀,http://epg.112114.xyz/douyu/9560563
音乐小魔王,http://epg.112114.xyz/douyu/9642552
音乐台长直,http://epg.112114.xyz/douyu/9629943
Fans小琼,http://epg.112114.xyz/douyu/8666210
万部,http://epg.112114.xyz/douyu/340224
韩G24H,http://epg.112114.xyz/douyu/131977

央视,#genre#
CCTV-1综合频道http://stream10.fjtv.net/cctv1/playlist.m3u8?_upt=13534c691651924942
CCTV-1综合频道,http://39.135.55.105:6610/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1&IASHttpSessionId=OTT2738620220502042912053993
CCTV-1综合频道,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8?$移动高清720P
CCTV-1综合频道,http://111.20.106.13:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
CCTV-2财经频道,http://39.135.55.7:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8?$移动蓝光1080P
CCTV-2财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3综艺,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8?$移动蓝光1080P
CCTV-3综艺,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
CCTV-4中文国际HD,http://111.11.123.49:6610/000000001000/5000000005000030093/1.m3u8?Contentid=5000000005000030093&livemode=1&stbId=3&channel-id=bestzb
CCTV-4中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV-4中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4中文国际,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4欧洲HD,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4美洲HD,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CCTV-5体育频道,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育频道,http://111.20.41.242:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8?$移动超清1080P
CCTV-5+体育赛事[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育赛事,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204502.m3u8?http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-6电影频道,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8?$移动蓝光1080P
CCTV-6电影频道,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV-7国防军事HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-7国防军事[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV-8电视剧[859*480],http://112.74.200.9:88/tv000000/m3u8.php?//624878356
CCTV-8电视剧,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV-9纪录[HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-9纪录[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9纪录[859*480],http://112.74.200.9:88/tv000000/m3u8.php?//673168140
CCTV-9纪录频道,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV-10科教[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教[859*480],http://112.74.200.9:88/tv000000/m3u8.php?//624878405
CCTV-10科教频道,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
CCTV-11戏曲HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-11戏曲频道,http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8
CCTV-11戏曲频道,http://39.135.55.105:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1&IASHttpSessionId=OTT2730520220502044038049836
CCTV-12社会与法[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12社会与法[859*480],http://112.74.200.9:88/tv000000/m3u8.php?//673168185
CCTV-12社会与法,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV-13新闻HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-13新闻频道,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8?$全网超清1080P
CCTV-13新闻[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻频道,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿频道,http://117.148.179.182/PLTV/88888888/224/3221231648/index.m3u8
CCTV-14少儿频道,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15音乐HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-15音乐频道,http://117.148.179.169/PLTV/88888888/224/3221231693/index.m3u8
CCTV-15音乐频道,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8?$全网超清1080P
CCTV-16奥林匹克,http://117.148.179.157/PLTV/88888888/224/3221233392/index.m3u8
CCTV-16奥林匹克,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-16奥林匹克,http://117.148.179.157/PLTV/88888888/224/3221233403/index.m3u8
CCTV-17农业农村HD,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV-17农业农村,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17农业农村,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233350/index.m3u8
CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-怀旧剧场,http://117.148.179.158/PLTV/88888888/224/3221231544/index.m3u8
CCTV-怀旧剧场,http://117.148.179.157/PLTV/88888888/224/3221231544/index.m3u8
CCTV-第一剧场,http://117.148.179.157/PLTV/88888888/224/3221231540/index.m3u8
CCTV-风云剧场,http://117.148.179.157/PLTV/88888888/224/3221231604/index.m3u8
CCTV-风云足球,http://117.148.179.157/PLTV/88888888/224/3221231547/index.m3u8
CCTV-兵器科技,http://117.148.179.157/PLTV/88888888/224/3221231573/index.m3u8
CCTV-世界地理,http://117.148.179.157/PLTV/88888888/224/3221231537/index.m3u8
CCTV-世界地理,http://117.148.179.160/PLTV/88888888/224/3221231537/index.m3u8
CCTV-女性时尚,http://111.20.33.93/PLTV/88888893/224/3221226237/index.m3u8
CCTV-女性时尚,http://117.148.179.160/PLTV/88888888/224/3221231598/index.m3u8
CCTV-央视台球,http://117.148.179.157/PLTV/88888888/224/3221231616/index.m3u8
CCTV-央视台球,http://117.148.179.157/PLTV/88888888/224/3221232875/index.m3u8
CCTV-电视指南,http://117.148.179.157/PLTV/88888888/224/3221231571/index.m3u8
CCTV-高尔夫网球,http://117.148.179.147/PLTV/88888888/224/3221231619/index.m3u8
CCTV-高尔夫网球,http://117.148.179.160/PLTV/88888888/224/3221231619/index.m3u8
CCTV-央视文化精品,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2012513803.m3u8
